Player;Team;Nationality;Weight;Year
Karim Benzema;Real Madrid;France;0,37;2022
Sadio Mané;Bayern de Munique;Sengal;0,13;2022
Kevin de Bruyne;Manchester City;Belgium;0,12;2022
Robert Lewandowski;Barcelona;Poland;0,12;2022
Mohamed Salah;Liverpool;Egypt;0,08;2022
Kylian Mbappé;Paris Saint-Germain;France;0,06;2022
Thibaut Courtois;Real Madrid;Belgium;0,06;2022
Vinicius Junior;Real Madrid;Brazil;0,04;2022
Luka Modric;Real Madrid;Croatia;0,01;2022
Erling Haaland;Manchester City;Norway;0,01;2022
Luka Modrić;Real Madrid;Croatia;0,27;2018
Cristiano Ronaldo;Real Madrid;Portugal;0,17;2018
Antoine Griezmann;Atlético Madrid;France;0,15;2018
Kylian Mbappé;Paris Saint-Germain;France;0,13;2018
Lionel Messi;Barcelona;Argentina;0,1;2018
Mohamed Salah;Liverpool;Egypt;0,07;2018
Raphaël Varane;Real Madrid;France;0,04;2018
Eden Hazard;Chelsea;Belgium;0,04;2018
Kevin De Bruyne;Manchester City;Belgium;0,01;2018
Harry Kane;Tottenham Hotspur;England;0,01;2018
Cristiano Ronaldo;Real Madrid;Portugal;0,38;2014
Lionel Messi;Barcelona;Argentina;0,16;2014
Manuel Neuer;Bayern Munich;Germany;0,16;2014
Arjen Robben;Bayern Munich;Netherlands;0,07;2014
Thomas Müller;Bayern Munich;Germany;0,05;2014
Philipp Lahm;Bayern Munich;Germany;0,03;2014
Neymar;Barcelona;Brazil;0,02;2014
James Rodríguez;Monaco;Colombia;0,01;2014
Toni Kroos;Bayern Munich;Germany;0,01;2014
Ángel Di María;Real Madrid;Argentina;0,01;2014
Lionel Messi;Barcelona;Argentina;0,23;2010
Andrés Iniesta;Barcelona;Spain;0,17;2010
Xavi;Barcelona;Spain;0,16;2010
Wesley Sneijder;Internazionale;Netherlands;0,14;2010
Diego Forlán;Atlético Madrid;Uruguay;0,08;2010
Cristiano Ronaldo;Real Madrid;Portugal;0,04;2010
Iker Casillas;Real Madrid;Spain;0,03;2010
David Villa;Valencia;Spain;0,02;2010
Didier Drogba;Chelsea;Ivory Coast;0,02;2010
Xabi Alonso;Real Madrid;Spain;0,02;2010
Fabio Cannavaro;Juventus;Italy;0,24;2006
Gianluigi Buffon;Juventus;Italy;0,17;2006
Thierry Henry;Arsenal;France;0,17;2006
Ronaldinho;Barcelona;Brazil;0,1;2006
Zinedine Zidane;Real Madrid;France;0,1;2006
Samuel Eto'o;Barcelona;Cameroon;0,09;2006
Miroslav Klose;Werder Bremen;Germany;0,04;2006
Didier Drogba;Chelsea;Ivory Coast;0,04;2006
Andrea Pirlo;Milan;Italy;0,02;2006
Jens Lehmann;Arsenal;Germany;0,02;2006
