Group;Date;home_team;Result;away_team
A;20/11/2022;Qatar;0-2;Ecuador
A;21/11/2022;Senegal;0-2;Netherlands
A;25/11/2022;Qatar;1-3;Senegal
A;25/11/2022;Netherlands;1-1;Ecuador
A;29/11/2022;Ecuador;1-2;Senegal
A;29/11/2022;Netherlands;2-0;Qatar
B;21/11/2022;England;6-2;IR Iran
B;21/11/2022;USA;1-1;Wales
B;25/11/2022;Wales;0-2;IR Iran
B;25/11/2022;England;0-0;USA
B;29/11/2022;Wales;0-3;England
B;29/11/2022;IR Iran;0-1;USA
C;22/11/2022;Argentina;1-2;Saudi Arabia
C;22/11/2022;Mexico;0-0;Poland
C;26/11/2022;Poland;2-0;Saudi Arabia
C;26/11/2022;Argentina;2-0;Mexico
C;30/11/2022;Saudi Arabia;1-2;Mexico
C;30/11/2022;Poland;0-2;Argentina
D;22/11/2022;Denmark;0-0;Tunisia
D;22/11/2022;France;4-1;Australia
D;26/11/2022;Tunisia;0-1;Australia
D;26/11/2022;France;2-1;Denmark
D;30/11/2022;Australia;1-0;Denmark
D;30/11/2022;Tunisia;1-0;France
E;23/11/2022;Germany;1-2;Japan
E;23/11/2022;Spain;7-0;Costa Rica
E;27/11/2022;Japan;0-1;Costa Rica
E;27/11/2022;Spain;1-1;Germany
E;01/12/2022;Costa Rica;2-4;Germany
E;01/12/2022;Japan;2-1;Spain
F;23/11/2022;Morocco;0-0;Croatia
F;23/11/2022;Belgium;1-0;Canada
F;27/11/2022;Belgium;0-2;Morocco
F;27/11/2022;Croatia;4-1;Canada
F;01/12/2022;Canada;1-2;Morocco
F;01/12/2022;Croatia;0-0;Belgium
G;24/11/2022;Switzerland;1-0;Cameroon
G;24/11/2022;Brazil;2-0;Serbia
G;28/11/2022;Cameroon;3-3;Serbia
G;28/11/2022;Brazil;1-0;Switzerland
G;02/12/2022;Serbia;2-3;Switzerland
G;02/12/2022;Cameroon;1-0;Brazil
H;24/11/2022;Uruguay;0-0;South Korea
H;24/11/2022;Portugal;3-2;Ghana
H;28/11/2022;South Korea;2-3;Ghana
H;28/11/2022;Portugal;2-0;Uruguay
H;02/12/2022;Ghana;0-2;Uruguay
H;02/12/2022;South Korea;2-1;Portugal
